序号,纬度,经度,速度,车辆状态,设备序列号,时间
336,31.216285,121.37624,60,1,A0113,2021.03.23 8:27:50
337,31.216288,121.37624,60,1,A0112,2021.03.23 8:28:00
338,31.216288,121.37624,60,1,A0113,2021.03.23 8:28:00
339,31.21629,121.376238,60,1,A0112,2021.03.23 8:28:10
340,31.21629,121.376238,60,1,A0113,2021.03.23 8:28:10
341,31.216292,121.376237,60,1,A0112,2021.03.23 8:28:20
342,31.216292,121.376237,60,1,A0113,2021.03.23 8:28:20
343,31.216293,121.376237,60,1,A0112,2021.03.23 8:28:30
344,31.216293,121.376237,60,1,A0113,2021.03.23 8:28:30
345,31.216298,121.376235,60,1,A0112,2021.03.23 8:28:40
346,31.216298,121.376235,60,1,A0113,2021.03.23 8:28:40
347,31.2163,121.376237,60,1,A0112,2021.03.23 8:28:50
348,31.2163,121.376237,60,1,A0113,2021.03.23 8:28:50
349,31.216303,121.37624,60,1,A0112,2021.03.23 8:29:00
350,31.216303,121.37624,60,1,A0113,2021.03.23 8:29:00
351,31.216303,121.376242,60,1,A0112,2021.03.23 8:29:10
352,31.216303,121.376242,60,1,A0113,2021.03.23 8:29:10
353,31.216302,121.376247,60,1,A0112,2021.03.23 8:29:20
354,31.216302,121.376247,60,1,A0113,2021.03.23 8:29:20
355,31.2163,121.376248,60,1,A0112,2021.03.23 8:29:30
356,31.2163,121.376248,60,1,A0113,2021.03.23 8:29:30
357,31.216298,121.37625,60,1,A0112,2021.03.23 8:29:40
358,31.216298,121.37625,60,1,A0113,2021.03.23 8:29:40
359,31.216298,121.37625,60,1,A0112,2021.03.23 8:29:50
360,31.216298,121.37625,60,1,A0113,2021.03.23 8:29:50
361,31.216293,121.376252,60,1,A0112,2021.03.23 8:30:00
362,31.216293,121.376252,60,1,A0113,2021.03.23 8:30:00
363,31.216292,121.376252,60,1,A0112,2021.03.23 8:30:10
364,31.216292,121.376252,60,1,A0113,2021.03.23 8:30:10
365,31.216288,121.376248,60,1,A0112,2021.03.23 8:30:20
366,31.216288,121.376248,60,1,A0113,2021.03.23 8:30:20
367,31.216287,121.376247,60,1,A0112,2021.03.23 8:30:30
368,31.216287,121.376247,60,1,A0113,2021.03.23 8:30:30
369,31.216285,121.37624,60,1,A0112,2021.03.23 8:30:40
370,31.216285,121.37624,60,1,A0113,2021.03.23 8:30:40
371,31.216285,121.376238,60,1,A0112,2021.03.23 8:30:50
372,31.216285,121.376238,60,1,A0113,2021.03.23 8:30:50
373,31.216282,121.376233,60,1,A0112,2021.03.23 8:31:00
374,31.216282,121.376233,60,1,A0113,2021.03.23 8:31:00
375,31.21628,121.376233,60,1,A0112,2021.03.23 8:31:10
376,31.21628,121.376233,60,1,A0113,2021.03.23 8:31:10
377,31.216277,121.376235,60,1,A0112,2021.03.23 8:31:20
378,31.216277,121.376235,60,1,A0113,2021.03.23 8:31:20
379,31.216277,121.376237,60,1,A0112,2021.03.23 8:31:30
380,31.216277,121.376237,60,1,A0113,2021.03.23 8:31:30
381,31.216275,121.376242,60,1,A0112,2021.03.23 8:31:40
382,31.216275,121.376242,60,1,A0113,2021.03.23 8:31:40
383,31.216275,121.376243,60,1,A0112,2021.03.23 8:31:50
384,31.216275,121.376243,60,1,A0113,2021.03.23 8:31:50
385,31.216277,121.37624,60,1,A0112,2021.03.23 8:32:00
386,31.216277,121.37624,60,1,A0113,2021.03.23 8:32:00
387,31.216277,121.376238,60,1,A0112,2021.03.23 8:32:10
388,31.216277,121.376238,60,1,A0113,2021.03.23 8:32:10
389,31.216292,121.376232,60,1,A0112,2021.03.23 8:32:20
390,31.216292,121.376232,60,1,A0113,2021.03.23 8:32:20
391,31.216293,121.37623,60,1,A0112,2021.03.23 8:32:30
392,31.216293,121.37623,60,1,A0113,2021.03.23 8:32:30
393,31.216307,121.376227,60,1,A0112,2021.03.23 8:32:40
394,31.216307,121.376227,60,1,A0113,2021.03.23 8:32:40
395,31.216307,121.376227,60,1,A0112,2021.03.23 8:32:50
396,31.216307,121.376227,60,1,A0113,2021.03.23 8:32:50
397,31.216308,121.376223,60,1,A0112,2021.03.23 8:33:00
398,31.216308,121.376223,60,1,A0113,2021.03.23 8:33:00
399,31.216308,121.376223,60,1,A0112,2021.03.23 8:33:10
400,31.216308,121.376223,60,1,A0113,2021.03.23 8:33:10
401,31.216303,121.376223,60,1,A0112,2021.03.23 8:33:20
402,31.216303,121.376223,60,1,A0113,2021.03.23 8:33:20
403,31.216303,121.376223,60,1,A0112,2021.03.23 8:33:30
404,31.216303,121.376223,60,1,A0113,2021.03.23 8:33:30
405,31.216298,121.376228,60,1,A0112,2021.03.23 8:33:40
406,31.216298,121.376228,60,1,A0113,2021.03.23 8:33:40
407,31.216298,121.376228,60,1,A0112,2021.03.23 8:33:50
408,31.216298,121.376228,60,1,A0113,2021.03.23 8:33:50
409,31.216288,121.376238,60,1,A0112,2021.03.23 8:34:00
410,31.216288,121.376238,60,1,A0113,2021.03.23 8:34:00
411,31.216288,121.376238,60,1,A0112,2021.03.23 8:34:10
412,31.216288,121.376238,60,1,A0113,2021.03.23 8:34:10
413,31.216278,121.376248,60,1,A0112,2021.03.23 8:34:20
414,31.216278,121.376248,60,1,A0113,2021.03.23 8:34:20
415,31.216272,121.376253,60,1,A0112,2021.03.23 8:34:30
416,31.216272,121.376253,60,1,A0113,2021.03.23 8:34:30
417,31.216277,121.376252,60,1,A0112,2021.03.23 8:34:40
418,31.216277,121.376252,60,1,A0113,2021.03.23 8:34:40
419,31.216278,121.376252,60,1,A0112,2021.03.23 8:34:50
420,31.216278,121.376252,60,1,A0113,2021.03.23 8:34:50
421,31.216282,121.376253,60,1,A0112,2021.03.23 8:35:00
422,31.216282,121.376253,60,1,A0113,2021.03.23 8:35:00
